740|0738
652|0744
650|0291
651|0292
3032|0020
83|0146
434|0279
252|0858
255|0857
189|0885
32|0578
1488|0414
97|0506
102|0502
107|0499
43|0501
48|0503
50|0508
92|0505
2059|0852
451|0288
404|0300
309|0109
301|0108
207|0138
222|0139
509|0091
833|0092
36|0094
107|0095
2350|0881
330|0921
252|0920
1796|0871
948|0925
5242|0923
933|0882
309|0086
415|0085
340|0087
212|0432
78|0887
106|0890
307|0892
269|0888
84|0089
71|0088
56|0090
978|0083
38|0084
981|0081
757|0082
47|0787
23|0788
48|0463
42|0786
34|0784
42|0785
17|0575
29|0807
21|0806
372|0848
373|0849
551|0230
21|0805
47|0809
44|0273
17|0701
35|0270
84|0217
12|0215
18|0223
26|0808
17|0272
21|0692
11|0224
6|0929
12|0271
7|0538
93|0703
45|0702
110|0245
12|0550
13|0549
13|0551
9|0312
15|0553
11|0313
44|0537
67|0706
67|0707
39|0294
123|0295
52|0296
22|0548
242|0049
36|0048
56|0047
1336|0529
755|0690
1091|0135
906|0136
207|0134
59|0132
213|0773
1227|0689
346|0930
882|0612
162|0562
1133|0561
45|0162
15|0649
344|0167
244|0165
36|0166
570|0769
560|0266
537|0771
89|0168
71|0176
220|0770
135|0780
698|0371
168|0781
157|0206
94|0181
63|0180
182|0179
70|0185
62|0184
29|0424
112|0736
342|0610
422|0691
1083|0611
361|0801
1025|0685
1120|0817
309|0686
1063|0682
767|0681
1451|0680
590|0196
389|0683
14|0197
12|0931
164|0657
279|0735
250|0802
694|0600
342|0283
157|0528
63|0282
81|0262
77|0261
77|0260
715|0663
202|0662
864|0645
626|0459
24|0599
12|0793
79|0507
3|0705
8|0219
18|0225
10|0704
3|0214
2|0222
1|0209
4|0251
3|0466
7|0212
8|0213
192|0863
2|0563
10|0257
12|0541
1|0231
5|0545
2|0547
3|0247
2|0248
8|0249
13|0234
9|0235
29|0236
2|0218
597|0743
721|0742
650|0741
7|0850
284|0579
1|0932
1|0211
1|0783
3|0572
643|0803
148|0540
5|0198
81|0587
2|0130
361|0589
537|0588
10|0337
1|0305
2|0297
690|0828
9|0532
5|0293
75|0531
121|0530
8|0936
9|0933
9|0934
10|0937
6|0935
547|0861
18|0426
2|0327
13|0911
5|0910
3|0924
5|0938
1|0940
12|0939
608|0721
1|0498
38|0497
2107|0942
1760|0841
1358|0762
831|0880
401|0907
724|0906
133|0905
1751|0908
569|0875
934|0877
1924|0878
66|0876
4|0606
68|0076
919|0943
196|0749
841|0870
916|0927
8|0944
1879|0832
435|0718
3|0717
263|0716
103|0757
706|0725
732|0107
449|0097
295|0101
1110|0098
1431|0722
1083|0099
106|0862
3|0488
195|0851
8|0493
420|0480
2|0941
746|0017
726|0016
173|0536
274|0045
669|0036
1172|0039
936|0895
1134|0581
6402|0855
358|0854
8|0620
1|0352
1|0359
997|0616
121852|0001
4|0896
6|0121
16|0128
137|0124
155|0123
97|0125
14|0886
193|0891
34|0229
24|0228
38|0227
16|0699
16|0696
12|0697
11|0698
1333|0874
552|0883
8|0591
275|0916
52|0919
34|0915
50|0917
433|0096
103|0918
195|0914
296|0824
539|0825
397|0821
131|0678
199|0116
346|0120
243|0111
432|0117
337|0112
580|0119
279|0118
1268|0113
6134|0114
828|0833
689|0724
705|0834
119|0115
9|0752
1067|0100
854|0102
111|0105
99|0103
111|0106
133|0104
288|0819
1344|0820
76|0884
359|0748
1074|0945
18|0737
5|0172
4|0170
3|0173
812|0715
23|0823
2289|0840
1411|0679
571|0804
492|0856
240|0521
48|0534
53|0535
174|0044
246|0046
487|0070
381|0926
73|0676
62|0674
73|0675
51|0677
42|0298
460|0014
497|0015
830|0037
1106|0038
668|0041
717|0040
995|0043
1283|0042
3544|0843
1195|0842
469|0747
348|0621
383|0853
891|0844
111|0029
3|0032
19|0027
92|0034
50|0033
1351|0008
344|0007
240|0011
150|0010
10|0012
321|0009
690|0006
263|0004
672|0005
888|0035
3108|0404
3036|0405
469|0928
1606|0467
624|0476
238|0603
176|0477
201|0478
10|0668
17|0672
42|0673
1433|0670
1133|0671
1087|0669
150|0496
3106|0949
400|0068
264|0894
3861|0003
2289|0002
12|0946
763|0860
0|0950
0|0951
0|0952
0|0953
0|0954
0|0955
0|0956
0|0957
0|0958
0|0960
0|0961
0|0962
0|0963
0|0964
0|0966
0|0967
0|0968
0|0969
0|0970
0|0971
0|0972
0|0973
0|0974
0|0975
0|0976
0|0977
0|0978
0|0979
